Participant,Duration_Secs.sum,Total.Recording.Hours,AWC_COUNT.sum,AWC.Normalized,CT_COUNT.sum,CT.Normalized,Age.months,Family.Status,Family.Annual.Income,Education,Occupation,Caregiver.Race.Ethnicity,Language,cryfreq,crydur,Baby.Gender,Caregiver.Age,Infant.Race.Ethnicity
P76,37363,10.37861111,10791,2404.332107,78,17.37910336,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P77,249671,69.35305556,60408,301.421689,512,2.554759382,1.73,1,NA,3,1,8,2,67.7656,1.752173276,2,23,8
P78,268351,74.54194444,39133,169.0257805,496,2.142355228,2.5,1,6,7,3,4,1,93.68901305,3.387453994,2,36,4
P79,317102,88.08388889,56359,174.3337851,1143,3.535611284,5.2,4,1,3,2,1,8,98.87444764,2.182884362,2,40,1
P80,197916,54.97666667,12487,99.15452649,171,1.357846082,5.47,3,1,2,1,6,1,NA,NA,2,34,8
P81,83795,23.27638889,11657,516.3769275,87,3.85388974,1.77,5,1,3,1,4,2,NA,NA,2,30,8
P82,162600,45.16666667,28777,338.5483313,293,3.447011887,1.23,1,3,2,1,6,2,NA,NA,2,40,6
P83,NA,NA,NA,NA,NA,NA,2.87,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
P84,4174,1.159444444,1832,32706.70721,31,553.4431896,1.33,4,6,5,1,6,1,NA,NA,1,20,6
P85,4019,1.116388889,3102,59734.05869,15,288.8494134,1.97,5,NA,3,1,6,2,NA,NA,1,18,6
P86,618,0.171666667,1376,1120618.343,2,1628.805731,1.17,3,2,5,3,8,2,NA,NA,1,40,8
